transaction_id,customer_id,product_id,product_name,category,quantity,order_date
6550,2434,1032,Storage Shelf,Furniture,1,2024-09-18
7324,2160,1695,Desk Lamp,Home & Kitchen,1,2023-11-27
11952,2898,1962,Rice Cooker,Home & Kitchen,1,2024-03-05
8938,8497,1958,External SSD,Electronics,1,2024-08-31
4238,6295,1880,Kitchen Blender,Home & Kitchen,1,2023-12-05
14235,2727,672,Microphone,Electronics,1,2024-03-17
10944,2936,1,Office Chair,Furniture,1,2024-02-22
11075,2994,827,Smart Watch,Electronics,1,2024-08-14
13842,5953,707,Bath Towels,Home & Kitchen,1,2024-05-20
1126,4825,1461,Gaming Mouse Pad,Accessories,1,2023-11-17
9699,6732,566,Mechanical Keyboard,Electronics,1,2024-02-22
3682,7300,496,4K Monitor,Electronics,1,2024-03-14
8310,7873,204,Desk Mat,Accessories,1,2024-08-09
6084,5627,791,Wireless Earbuds,Electronics,1,2024-08-23
3161,2086,1970,Wireless Mouse,Electronics,1,2024-11-01
57,975,250,Keyboard Wrist Rest,Accessories,1,2024-05-26
10706,5075,164,Toaster Oven,Home & Kitchen,1,2023-11-29
11179,7024,554,Desk Mat,Accessories,1,2024-02-06
9585,941,1516,Mechanical Keyboard,Electronics,1,2024-02-22
7661,5801,904,Desk Mat,Accessories,1,2024-08-20
1860,4276,900,Keyboard Wrist Rest,Accessories,1,2024-09-30
9492,4374,1733,WiFi Router,Electronics,1,2024-09-27
10454,7945,1883,WiFi Router,Electronics,1,2024-07-08
2853,1888,716,Mechanical Keyboard,Electronics,1,2024-03-29
51,3177,1188,Wireless Charger,Electronics,1,2024-05-16
8481,425,1331,Wall Clock,Home & Kitchen,1,2023-12-23
11997,5410,1249,Webcam HD,Electronics,1,2024-04-25
6792,7971,781,Wall Clock,Home & Kitchen,1,2024-05-21
8684,5894,458,External SSD,Electronics,1,2024-07-12
12854,2835,205,Tablet Stand,Accessories,1,2024-06-21
7249,9127,1983,WiFi Router,Electronics,1,2023-12-10
9279,995,1014,Toaster Oven,Home & Kitchen,1,2024-04-26
6558,1399,1319,Laptop Sleeve,Accessories,1,2024-09-04
5292,1259,1378,Cable Organizer,Accessories,1,2024-08-03
7221,6466,1157,Bath Towels,Home & Kitchen,1,2024-10-19
8357,4733,925,Bluetooth Headphones,Electronics,1,2023-11-05
14041,7404,1153,Document Scanner,Electronics,1,2024-05-10
4657,9938,1471,Power Strip,Electronics,1,2024-07-25
100,3089,480,Kitchen Blender,Home & Kitchen,1,2024-01-11
1802,9808,1338,Wireless Charger,Electronics,1,2024-08-31
7789,8797,375,Bluetooth Headphones,Electronics,1,2023-12-03
3325,4478,1920,Wireless Mouse,Electronics,1,2024-09-04
2843,6169,879,Storage Containers,Home & Kitchen,1,2023-12-26
6400,8109,182,Storage Shelf,Furniture,1,2024-03-31
11500,7978,51,Office Chair,Furniture,1,2024-09-15
6897,6618,1104,Desk Mat,Accessories,1,2024-07-12
12382,830,1785,Smartphone Case,Accessories,1,2024-08-29
9976,4348,1528,Cable Organizer,Accessories,1,2024-10-20
1809,7424,173,Bookshelf,Furniture,1,2024-01-07
5957,8681,526,Noise Cancelling Headset,Electronics,1,2023-12-30
8450,3575,550,Keyboard Wrist Rest,Accessories,1,2024-06-18
14945,9522,629,Storage Containers,Home & Kitchen,1,2024-06-14
6813,4759,904,Desk Mat,Accessories,1,2024-09-06
12604,7420,1389,Wireless Presenter,Electronics,1,2024-10-23
1022,7073,813,Phone Grip,Accessories,1,2024-06-07
8662,6109,717,Food Processor,Home & Kitchen,1,2023-12-17
14583,6765,438,Wireless Charger,Electronics,1,2024-01-23
5606,3811,366,Mechanical Keyboard,Electronics,1,2024-06-22
6255,1128,1418,Monitor Stand,Furniture,1,2023-11-29
14711,275,1347,Water Bottle,Home & Kitchen,1,2023-12-26
9825,3495,1479,Storage Containers,Home & Kitchen,1,2024-10-19
10666,7865,1067,Food Processor,Home & Kitchen,1,2024-03-11
14204,5856,1242,Electric Kettle,Home & Kitchen,1,2024-05-01
4433,441,875,Bluetooth Headphones,Electronics,1,2024-08-01
4050,6506,1817,Food Processor,Home & Kitchen,1,2024-02-25
99,7243,202,Coffee Maker,Home & Kitchen,1,2024-07-09
8827,8235,659,Computer Speakers,Electronics,1,2024-10-04
7711,6070,912,Rice Cooker,Home & Kitchen,1,2023-11-29
1036,544,468,Monitor Stand,Furniture,1,2024-07-31
7864,172,995,Desk Lamp,Home & Kitchen,1,2023-11-12
2235,4602,1161,Gaming Mouse Pad,Accessories,1,2024-01-13
12274,2535,463,Phone Grip,Accessories,1,2024-08-18
12288,1688,930,Kitchen Blender,Home & Kitchen,1,2023-12-05
9367,9622,429,Storage Containers,Home & Kitchen,1,2024-03-21
4712,1911,66,Mechanical Keyboard,Electronics,1,2024-03-30
9791,1203,1665,Laptop Stand,Accessories,1,2024-09-10
1424,4552,48,File Cabinet,Furniture,1,2024-03-05
7265,3856,431,Wall Clock,Home & Kitchen,1,2024-10-18
12572,8606,309,Computer Speakers,Electronics,1,2023-12-24
1248,7067,1351,Office Chair,Furniture,1,2023-11-27
8986,7,787,Throw Pillows,Home & Kitchen,1,2024-06-06
9748,2944,1658,External SSD,Electronics,1,2023-11-23
13222,57,1633,WiFi Router,Electronics,1,2024-09-30
11479,9043,632,Storage Shelf,Furniture,1,2024-08-31
1220,5689,527,Smart Watch,Electronics,1,2024-06-17
3619,389,1935,Smartphone Case,Accessories,1,2024-08-19
9813,6341,1050,Keyboard Wrist Rest,Accessories,1,2024-10-18
14800,1624,1183,WiFi Router,Electronics,1,2024-01-02
12770,8537,1085,Smartphone Case,Accessories,1,2024-06-06
11725,7431,498,File Cabinet,Furniture,1,2024-06-07
14675,9075,858,External SSD,Electronics,1,2024-04-20
13133,6805,1025,Bluetooth Headphones,Electronics,1,2024-02-16
358,2000,503,Document Scanner,Electronics,1,2024-05-23
2244,9513,1896,4K Monitor,Electronics,1,2024-05-19
9399,4087,1435,Smartphone Case,Accessories,1,2024-08-12
12581,9122,575,Bluetooth Headphones,Electronics,1,2024-08-24
8097,5140,1261,Gaming Mouse Pad,Accessories,1,2024-10-18
12011,7178,1424,Portable Charger,Accessories,1,2023-12-26
12422,8722,451,Office Chair,Furniture,1,2024-02-04
1504,9952,176,Noise Cancelling Headset,Electronics,1,2024-09-29
12747,7160,847,Water Bottle,Home & Kitchen,1,2024-06-14
8445,9141,1263,Phone Grip,Accessories,1,2023-12-12
2111,5048,1812,Rice Cooker,Home & Kitchen,1,2023-11-10
163,207,136,Standing Desk,Furniture,1,2024-08-16
4385,4432,1028,Cable Organizer,Accessories,1,2024-09-11
2233,1341,1851,Office Chair,Furniture,1,2023-11-19
6485,79,347,Water Bottle,Home & Kitchen,1,2024-08-28
10186,9743,654,Desk Mat,Accessories,1,2023-12-07
3986,9001,783,WiFi Router,Electronics,1,2023-12-10
11881,3860,1753,Document Scanner,Electronics,1,2024-01-25
4822,6904,292,Electric Kettle,Home & Kitchen,1,2024-10-13
399,5370,496,4K Monitor,Electronics,1,2024-08-18
7464,2761,707,Bath Towels,Home & Kitchen,1,2024-05-01
4310,7667,1709,Computer Speakers,Electronics,1,2024-04-24
6345,9492,1104,Desk Mat,Accessories,1,2024-07-19
14853,6870,323,Bookshelf,Furniture,1,2024-05-16
5053,7324,1388,Wireless Charger,Electronics,1,2024-02-26
8658,8904,1239,Wireless Presenter,Electronics,1,2024-01-22
14941,4223,605,Tablet Stand,Accessories,1,2024-01-19
11852,3273,1662,Rice Cooker,Home & Kitchen,1,2024-06-19
6719,295,38,Wireless Charger,Electronics,1,2024-09-01
8836,8402,267,Food Processor,Home & Kitchen,1,2024-03-24
1442,310,809,Computer Speakers,Electronics,1,2024-10-31
110,1052,559,Computer Speakers,Electronics,1,2024-03-26
7440,8138,1665,Laptop Stand,Accessories,1,2024-03-14
10364,6951,688,Wireless Charger,Electronics,1,2024-07-21
805,8036,1786,Standing Desk,Furniture,1,2024-05-15
10816,6084,1997,Water Bottle,Home & Kitchen,1,2024-08-06
12195,2995,1826,Noise Cancelling Headset,Electronics,1,2024-06-20
25,4363,243,Desk Organizer,Accessories,1,2024-06-02
7022,998,566,Mechanical Keyboard,Electronics,1,2024-10-04
11203,9050,1457,Bath Towels,Home & Kitchen,1,2024-04-14
10404,5356,1320,Wireless Mouse,Electronics,1,2024-03-06
12598,4258,120,Wireless Mouse,Electronics,1,2024-08-31
14612,8720,1020,Wireless Mouse,Electronics,1,2024-11-03
8811,1097,383,WiFi Router,Electronics,1,2024-05-27
11165,7748,1023,Bookshelf,Furniture,1,2024-06-12
8843,8400,1435,Smartphone Case,Accessories,1,2024-05-16
13540,9881,453,Document Scanner,Electronics,1,2024-05-17
1519,9821,29,Storage Containers,Home & Kitchen,1,2023-12-05
11963,5470,685,Smartphone Case,Accessories,1,2024-06-01
9297,6251,1367,Food Processor,Home & Kitchen,1,2023-12-19
4795,3559,505,Tablet Stand,Accessories,1,2023-11-19
2743,3906,564,Toaster Oven,Home & Kitchen,1,2024-10-15
758,1922,913,Phone Grip,Accessories,1,2023-11-09
619,1264,863,Phone Grip,Accessories,1,2024-05-17
1895,2672,1818,Monitor Stand,Furniture,1,2024-08-19
1863,5094,65,Laptop Stand,Accessories,1,2024-05-26
1971,5853,679,Storage Containers,Home & Kitchen,1,2024-07-10
14965,2213,990,USB-C Hub,Electronics,1,2023-12-01
13203,5168,414,Toaster Oven,Home & Kitchen,1,2024-10-01
3237,1842,1087,Throw Pillows,Home & Kitchen,1,2024-10-09
4317,6220,995,Desk Lamp,Home & Kitchen,1,2024-04-14
6200,2890,736,Standing Desk,Furniture,1,2024-09-14
2060,6976,1164,Toaster Oven,Home & Kitchen,1,2024-05-12
5192,1300,230,Kitchen Blender,Home & Kitchen,1,2024-03-13
2456,5090,664,Toaster Oven,Home & Kitchen,1,2024-09-28
9613,1373,131,Wall Clock,Home & Kitchen,1,2024-10-14
4936,8686,1022,Microphone,Electronics,1,2024-04-25
9314,9893,997,Water Bottle,Home & Kitchen,1,2024-02-21
3024,8657,730,Kitchen Blender,Home & Kitchen,1,2024-08-07
11719,1146,856,Drawer Unit,Furniture,1,2024-08-30
4994,397,1519,Laptop Sleeve,Accessories,1,2024-07-17
3118,4393,718,Monitor Stand,Furniture,1,2024-05-28
12642,6819,1231,Wall Clock,Home & Kitchen,1,2024-05-19
4403,6152,1356,Drawer Unit,Furniture,1,2024-01-20
11452,5710,611,Gaming Mouse Pad,Accessories,1,2024-04-05
13117,2337,1496,4K Monitor,Electronics,1,2024-03-11
14701,2415,1302,Coffee Maker,Home & Kitchen,1,2024-07-20
4496,1376,1364,Toaster Oven,Home & Kitchen,1,2024-01-06
801,7660,1092,Electric Kettle,Home & Kitchen,1,2024-06-26
12529,4795,594,Screen Protector,Accessories,1,2023-12-20
13304,5944,55,Tablet Stand,Accessories,1,2024-02-07
10920,8778,1465,Laptop Stand,Accessories,1,2024-10-27
14837,3253,1361,Gaming Mouse Pad,Accessories,1,2024-08-20
5482,3546,594,Screen Protector,Accessories,1,2023-11-14
6076,562,529,Storage Containers,Home & Kitchen,1,2024-04-14
12167,8823,1319,Laptop Sleeve,Accessories,1,2024-08-08
8749,1507,1042,Electric Kettle,Home & Kitchen,1,2023-11-14
12848,5591,1407,Bath Towels,Home & Kitchen,1,2023-11-14
6606,8536,963,Phone Grip,Accessories,1,2024-04-15
1341,7769,147,Water Bottle,Home & Kitchen,1,2024-06-05
9355,9995,605,Tablet Stand,Accessories,1,2023-12-24
3934,3940,516,Mechanical Keyboard,Electronics,1,2024-03-11
12220,981,177,Smart Watch,Electronics,1,2024-07-17
5135,6566,89,Wireless Presenter,Electronics,1,2023-11-20
5962,5113,162,Rice Cooker,Home & Kitchen,1,2024-05-28
6520,2911,1811,Gaming Mouse Pad,Accessories,1,2024-04-28
8385,9002,1941,Wireless Earbuds,Electronics,1,2023-11-13
7319,1917,659,Computer Speakers,Electronics,1,2024-09-30
14502,6028,5,Tablet Stand,Accessories,1,2024-03-16
14058,9851,1387,Throw Pillows,Home & Kitchen,1,2024-04-05
10023,5735,652,Coffee Maker,Home & Kitchen,1,2024-10-29
11820,6979,1422,Microphone,Electronics,1,2024-09-20
4599,6552,648,File Cabinet,Furniture,1,2024-07-09
6660,529,1033,WiFi Router,Electronics,1,2024-06-20
5814,623,1024,Portable Charger,Accessories,1,2024-01-25
13995,9198,854,Desk Mat,Accessories,1,2024-04-01
2339,9564,566,Mechanical Keyboard,Electronics,1,2024-03-22
327,2286,1130,Kitchen Blender,Home & Kitchen,1,2024-02-08
3134,1654,832,Storage Shelf,Furniture,1,2024-09-03
2034,1954,434,Air Purifier,Home & Kitchen,1,2024-10-03
7228,3086,589,Wireless Presenter,Electronics,1,2024-01-15
3777,9994,1103,Document Scanner,Electronics,1,2024-09-24
14350,9389,1425,Bluetooth Headphones,Electronics,1,2024-04-03
5177,3480,1182,Storage Shelf,Furniture,1,2024-01-28
7399,5426,1680,Kitchen Blender,Home & Kitchen,1,2024-07-31
2311,3405,364,Toaster Oven,Home & Kitchen,1,2024-09-08
3801,9064,577,Smart Watch,Electronics,1,2024-01-18
3794,1047,1153,Document Scanner,Electronics,1,2024-06-04
2973,9587,383,WiFi Router,Electronics,1,2024-04-05
7615,5829,909,Computer Speakers,Electronics,1,2024-04-30
11586,5367,1980,Kitchen Blender,Home & Kitchen,1,2024-04-12
5848,1312,762,Rice Cooker,Home & Kitchen,1,2024-07-08
1204,7975,1696,4K Monitor,Electronics,1,2024-03-03
10284,1889,1619,Laptop Sleeve,Accessories,1,2024-10-09
10102,4846,1005,Tablet Stand,Accessories,1,2024-10-18
9614,9646,402,Coffee Maker,Home & Kitchen,1,2023-12-28
11784,6858,489,Wireless Presenter,Electronics,1,2024-05-26
7853,8814,1350,Keyboard Wrist Rest,Accessories,1,2024-03-28
11068,2748,120,Wireless Mouse,Electronics,1,2024-03-04
962,8539,470,Wireless Mouse,Electronics,1,2024-07-09
8727,6452,1022,Microphone,Electronics,1,2023-11-30
12243,171,1526,Noise Cancelling Headset,Electronics,1,2023-12-28
8707,7902,1030,Kitchen Blender,Home & Kitchen,1,2024-02-29
10390,2530,737,Throw Pillows,Home & Kitchen,1,2024-09-03
7732,8640,183,WiFi Router,Electronics,1,2023-11-20
12466,625,773,Bookshelf,Furniture,1,2024-08-14
12853,2753,1173,Bookshelf,Furniture,1,2023-11-17
1046,6827,149,Webcam HD,Electronics,1,2024-04-12
11460,9681,302,Coffee Maker,Home & Kitchen,1,2023-12-28
13993,4685,496,4K Monitor,Electronics,1,2023-11-09
401,1226,1097,Water Bottle,Home & Kitchen,1,2024-08-13
6250,6407,631,Wall Clock,Home & Kitchen,1,2024-08-13
12533,4621,797,Water Bottle,Home & Kitchen,1,2024-04-16
14385,2587,1382,Storage Shelf,Furniture,1,2023-11-12
8898,5054,1022,Microphone,Electronics,1,2023-12-09
14755,1386,621,Power Strip,Electronics,1,2024-02-06
3546,6629,254,Desk Mat,Accessories,1,2024-08-01
14238,4800,944,Screen Protector,Accessories,1,2024-06-28
2076,9059,1959,Computer Speakers,Electronics,1,2024-03-13
13783,2604,1999,Webcam HD,Electronics,1,2024-06-03
14096,9420,765,Laptop Stand,Accessories,1,2023-11-26
12609,5858,1678,Cable Organizer,Accessories,1,2024-05-01
1648,4080,1921,Power Strip,Electronics,1,2024-02-15
3217,9197,765,Laptop Stand,Accessories,1,2024-11-01
3796,9484,995,Desk Lamp,Home & Kitchen,1,2024-07-29
2878,9008,125,Bluetooth Headphones,Electronics,1,2024-01-16
4772,4345,1007,Bath Towels,Home & Kitchen,1,2023-11-09
2636,8097,515,Laptop Stand,Accessories,1,2024-09-14
3138,9626,944,Screen Protector,Accessories,1,2023-12-17
5540,4134,1602,Coffee Maker,Home & Kitchen,1,2024-03-08
11682,6878,1979,Storage Containers,Home & Kitchen,1,2024-03-22
196,3484,1377,Smart Watch,Electronics,1,2024-02-18
13610,5615,366,Mechanical Keyboard,Electronics,1,2023-12-24
13368,549,1588,Wireless Charger,Electronics,1,2024-02-01
5270,9530,334,Air Purifier,Home & Kitchen,1,2023-11-17
4968,2784,36,Standing Desk,Furniture,1,2024-02-16
12931,9385,928,Cable Organizer,Accessories,1,2023-12-10
11284,7825,1705,Tablet Stand,Accessories,1,2024-08-19
10978,5917,238,Wireless Charger,Electronics,1,2024-06-22
6530,2298,1680,Kitchen Blender,Home & Kitchen,1,2024-09-05
3441,3565,1017,Food Processor,Home & Kitchen,1,2024-08-31
2509,6453,546,4K Monitor,Electronics,1,2024-09-03
